Sample,Date,Site,Year,Season,Replicate,Treatment,Site-Temperature,Mean-Temperature,Max-Temperature,Min-Temperature,picea,Visited_picea,scabrinodis,ruginodis,Myrmica,Visited_Myrmica,Lost-Sample,Eaten-Sample
Rad-2017-1-2-Oil,29/06/2017,Rad,2017,1,2,Oil,19,18.2,24.7,10.7,1,1,0,0,0,0,0,0
Rad-2017-1-3-Oil,29/06/2017,Rad,2017,1,3,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-4-Oil,29/06/2017,Rad,2017,1,4,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-5-Oil,29/06/2017,Rad,2017,1,5,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-6-Oil,29/06/2017,Rad,2017,1,6,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-7-Oil,29/06/2017,Rad,2017,1,7,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-8-Oil,29/06/2017,Rad,2017,1,8,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-9-Oil,29/06/2017,Rad,2017,1,9,Oil,19,18.2,24.7,10.7,1,1,0,0,0,0,0,0
Rad-2017-1-10-Oil,29/06/2017,Rad,2017,1,10,Oil,19,18.2,24.7,10.7,1,1,0,0,0,0,0,0
Rad-2017-1-11-Oil,29/06/2017,Rad,2017,1,11,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-12-Oil,29/06/2017,Rad,2017,1,12,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-13-Oil,29/06/2017,Rad,2017,1,13,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-14-Oil,29/06/2017,Rad,2017,1,14,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-15-Oil,29/06/2017,Rad,2017,1,15,Oil,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-1-Control,29/06/2017,Rad,2017,1,1,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-2-Control,29/06/2017,Rad,2017,1,2,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
